ilkid,firstname,lastname,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
BRISTAL01 ,Allan,Bristow,7,97,45,0,0,14,12,0,0,0,14,35,13,24,19,0,0
BRISTAL01 ,Allan,Bristow,20,242,86,0,0,42,42,11,5,0,33,73,32,36,22,0,0
BRITTMI01 ,Mike,Brittain,1,2,2,0,1,1,0,0,1,0,0,2,1,0,0,0,0
BROKAGA01 ,Gary,Brokaw,6,152,83,0,0,15,36,0,0,0,17,56,32,24,19,0,0
BROOKKE01 ,Kevin,Brooks,2,5,5,1,1,2,0,0,0,0,0,7,2,2,1,1,0
BROOKSC01 ,Scott,Brooks,34,355,89,20,4,24,57,12,0,21,42,76,29,28,21,23,10
BROWNCH01 ,Chucky,Brown,41,651,218,83,33,116,19,15,7,21,74,177,83,70,50,5,2
BROWNDE01 ,Dee,Brown,31,782,320,68,20,88,112,23,15,44,79,272,122,70,60,55,16
BROWNDE02 ,Devin,Brown,21,190,73,20,5,25,12,4,1,8,21,57,25,24,14,17,9
BROWNFR01 ,Fred,Brown,83,1900,1197,39,24,196,193,44,7,35,144,1082,499,227,186,42,13
BROWNGE02 ,Gerald,Brown,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
BROWNJO01 ,John,Brown,7,64,10,8,2,10,1,1,1,5,10,13,4,2,2,1,0
BROWNKE01 ,Kedrick,Brown,5,14,8,0,2,2,0,1,1,0,0,6,3,2,1,1,1
BROWNKW01 ,Kwame,Brown,3,60,15,11,4,15,3,0,2,2,5,13,5,9,5,0,0
BROWNMI01 ,Mike,Brown,43,702,241,110,53,163,23,8,5,40,109,179,79,105,83,0,0
BROWNPJ01 ,P.j.,Brown,71,2313,601,368,226,594,79,54,71,87,240,533,226,201,149,1,0
BROWNRA01 ,Randy,Brown,47,281,74,20,9,29,22,15,3,18,46,70,27,23,17,6,3
BROWNRA02 ,Raymond,Brown,3,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
BROWNRI01 ,Rickey,Brown,7,98,33,17,5,22,2,0,1,5,22,24,11,14,11,0,0
BROWNRO01 ,Rogera,Brown,110,4030,1992,0,0,705,405,0,0,0,391,1590,765,583,462,0,0
BROWNRO02 ,Roger,Brown,11,56,10,0,0,14,2,0,0,0,10,10,4,4,2,0,0
BROWNTO01 ,Tony,Brown,17,133,32,8,4,12,9,4,0,2,17,28,11,11,7,8,3
BRUNSGE01 ,George,Bruns,2,7,1,0,0,0,1,0,0,0,3,1,0,2,1,0,0
BRUNSRI01 ,Rick,Brunson,16,28,9,0,1,1,3,1,0,5,5,7,2,6,5,0,0
BRYANEM01 ,Emmette,Bryant,27,758,231,0,0,111,70,0,0,0,104,227,88,69,55,0,0
BRYANJO01 ,Joe,Bryant,30,274,123,0,0,54,21,7,1,0,54,116,52,28,19,0,0
BRYANKO01 ,Kobe,Bryant,119,4556,2694,439,138,577,528,161,89,319,376,2233,969,802,635,375,121
BRYANMA01 ,Mark,Bryant,79,967,278,115,79,194,14,17,14,44,157,241,113,71,52,2,0
BRYANWA01 ,Wallace,Bryant,2,36,2,6,1,7,1,1,1,2,5,1,0,2,2,0,0
BUCCIGE01 ,George,Bucci,2,9,7,0,0,0,0,0,0,0,2,7,3,2,1,0,0
BUCKHJO01 ,Joe,Buckhalter,4,60,34,0,0,22,4,0,0,0,14,38,16,3,2,0,0
BUCKNGR01 ,Greg,Buckner,27,392,93,55,25,80,15,11,4,11,59,97,37,18,14,22,5
BUCKNQU01 ,Quinn,Buckner,68,1057,346,62,26,115,170,64,1,56,170,337,148,82,50,4,0
BUDKOWA01 ,Walter,Budko,3,58,16,0,0,12,5,0,0,0,11,14,6,7,4,0,0
BUECHJU01 ,Jud,Buechler,71,561,124,52,30,82,24,21,7,16,60,123,49,13,7,53,19
BUFORRO01 ,Rodney,Buford,24,124,44,13,5,18,7,6,1,4,20,44,17,6,5,11,5
BULLAMA01 ,Matt,Bullard,35,360,121,39,10,49,19,6,9,11,29,95,38,22,18,59,27
